Persona,Hogar,Sexo,Edad,ActividadHogar,EstadoCivil,NivelInstruccion,ViaAccesoPrincipal,TenenciaVivienda,TipoAlumbrado,TipoVivienda,TieneVehiculo,NumeroVehiculos,TieneMoto,NumeroMotos,AbastecimientoSuper,AbastecimientoDiesel,AbastecimientoEco,AbastecimientoExtra,AbastecimientoElectricidad,AbastecimientoGas,GastoSuper,GastoDiesel,GastoEco,GastoExtra,GastoElectricidad,GastoGas,ValorMnsualArriendo,IncluyeServicioAgua,IncluyeServicioLuz,CantidadDeCuartos,CuartoDormitorios,CuartoNegocio,CuartoCocina,ParentescoPropietario,Basura,TipoCocina,Vivienda,MaterialPiso,MaterialParedes,MaterialTecho,EstadoParedes,EstadoTecho,EstadoParedes,MedidorDeAgua,ObtieneJuntaAgua,MedioRecibeAgua,MedioObtieneAgua,ServicioDucha,TipoDeServicioHigienico,NoTieneServicioHigienico,TipoInsatalacionSanitaria,UnidadMuestreo,Ciudad,Conglomeracion,Estrato,Area,FactorExpansion,Periodo,Mes
0101500002010260110102,01015000020102601102,2,78,12,3,4,1,4,1,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,150,3,3,4,3,0,1,2,2,1,0101500002010260102,4,1,2,2,3,2," "," ",1,1,1,1,4,5,010150000201,10150,000201,2713,1,30.1109079661847,202302,02
0101500002010260210102,01015000020102602102,1,79,12,1,4,1,1,1,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,100,1,1,3,2,0,1,1,2,1,0101500002010260202,2,1,6,1,1,1," "," ",1,1,1,1,4,5,010150000201,10150,000201,2713,1,30.1109079661847,202302,02
0101500002010260210202,01015000020102602102,2,73,12,1,6,1,1,1,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,100,1,1,3,2,0,1,1,2,1,0101500002010260202,2,1,6,1,1,1," "," ",1,1,1,1,4,5,010150000201,10150,000201,2713,1,30.1109079661847,202302,02
0101500002010260310102,01015000020102603102,1,46,12,3,9,1,1,1,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,200,2,2,3,2,0,1,2,2,1,0101500002010260302,1,1,1,1,1,1," "," ",1,1,1,1,4,5,010150000201,10150,000201,2713,1,30.1109079661847,202302,02
0101500002010260410102,01015000020102604102,2,59,12,6,9,1,1,1,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,200,1,1,4,3,0,1,2,2,1,0101500002010260402,1,3,6,1,3,1," "," ",1,1,1,1,4,5,010150000201,10150,000201,2713,1,30.1109079661847,202302,02
0101500002010260410202,01015000020102604102,2,85,12,4,4,1,1,1,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,200,1,1,4,3,0,1,2,2,1,0101500002010260402,1,3,6,1,3,1," "," ",1,1,1,1,4,5,010150000201,10150,000201,2713,1,30.1109079661847,202302,02
0101500002010260510102,01015000020102605102,2,77,12,6,6,1,4,1,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,800,3,3,6,5,0,1,2,2,1,0101500002010260502,1,1,4,3,3,2," "," ",1,1,1,1,4,5,010150000201,10150,000201,2713,1,30.1109079661847,202302,02
0101500002010260510202,01015000020102605102,1,74,12,3,9,1,4,1,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,800,3,3,6,5,0,1,2,2,1,0101500002010260502,1,1,4,3,3,2," "," ",1,1,1,1,4,5,010150000201,10150,000201,2713,1,30.1109079661847,202302,02
0101500002010260510302,01015000020102605102,2,21,12,6,9,1,4,1,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,800,3,3,6,5,0,1,2,2,1,0101500002010260502,1,1,4,3,3,2," "," ",1,1,1,1,4,5,010150000201,10150,000201,2713,1,30.1109079661847,202302,02
0101500002010260510402,01015000020102605102,2,51,12,6,4,1,4,1,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,800,3,3,6,5,0,1,2,2,1,0101500002010260502,1,1,4,3,3,2," "," ",1,1,1,1,4,5,010150000201,10150,000201,2713,1,30.1109079661847,202302,02
0101500002010260610102,01015000020102606102,2,34,12,3,8,1,1,1,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,160,2,2,3,2,0,1,2,2,1,0101500002010260602,1,3,6,2,2,2," "," ",1,1,1,1,4,5,010150000201,10150,000201,2713,1,30.1109079661847,202302,02
0101500002010260610202,01015000020102606102,2,9,12,6,5,1,1,1,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,160,2,2,3,2,0,1,2,2,1,0101500002010260602,1,3,6,2,2,2," "," ",1,1,1,1,4,5,010150000201,10150,000201,2713,1,30.1109079661847,202302,02
0101500002010260910102,01015000020102609102,2,50,12,2,9,1,1,1,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,150,1,1,4,3,0,1,1,2,1,0101500002010260902,1,1,2,2,3,2," "," ",1,1,1,1,4,5,010150000201,10150,000201,2713,1,30.1109079661847,202302,02
0101500002010260910202,01015000020102609102,1,36,12,6,9,1,1,1,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,150,1,1,4,3,0,1,1,2,1,0101500002010260902,1,1,2,2,3,2," "," ",1,1,1,1,4,5,010150000201,10150,000201,2713,1,30.1109079661847,202302,02
0101500003040420110103,01015000030404201103,1,30,12,5,6,3,1,1,1,1,1,2,0,2,2,1,2,2,2,0,0,25,0,0,0,250,1,1,3,2,0,1,2,2,1,0101500003040420103,1,1,4,1,1,1," "," ",1,1,1,1,4,5,010150000304,10150,000304,2712,1,64.008634100334,202303,03
0101500003040420110203,01015000030404201103,2,38,12,5,10,3,1,1,1,1,1,2,0,2,2,1,2,2,2,0,0,25,0,0,0,250,1,1,3,2,0,1,2,2,1,0101500003040420103,1,1,4,1,1,1," "," ",1,1,1,1,4,5,010150000304,10150,000304,2712,1,64.008634100334,202303,03
0101500003040420110303,01015000030404201103,1,0,12,6,1,3,1,1,1,1,1,2,0,2,2,1,2,2,2,0,0,25,0,0,0,250,1,1,3,2,0,1,2,2,1,0101500003040420103,1,1,4,1,1,1," "," ",1,1,1,1,4,5,010150000304,10150,000304,2712,1,64.008634100334,202303,03
0101500003040420210103,01015000030404202103,1,55,12,1,4,1,1,1,3,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,60,1,1,1,0,0,2,2,2,1,0101500003040420203,4,4,3,2,2,2," "," ",2,1,2,1,4,5,010150000304,10150,000304,2712,1,64.008634100334,202303,03
0101500003040420210203,01015000030404202103,2,30,12,6,6,1,1,1,3,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,60,1,1,1,0,0,2,2,2,1,0101500003040420203,4,4,3,2,2,2," "," ",2,1,2,1,4,5,010150000304,10150,000304,2712,1,64.008634100334,202303,03
0101500003040420210303,01015000030404202103,1,5,12,6,5,1,1,1,3,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,60,1,1,1,0,0,2,2,2,1,0101500003040420203,4,4,3,2,2,2," "," ",2,1,2,1,4,5,010150000304,10150,000304,2712,1,64.008634100334,202303,03
0101500003040420310103,01015000030404203103,2,39,12,6,4,1,1,1,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,170,1,2,3,2,0,1,2,2,1,0101500003040420303,2,1,1,1,1,1," "," ",1,1,1,1,4,5,010150000304,10150,000304,2712,1,64.008634100334,202303,03
0101500003040420310203,01015000030404203103,1,17,12,6,7,1,1,1,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,170,1,2,3,2,0,1,2,2,1,0101500003040420303,2,1,1,1,1,1," "," ",1,1,1,1,4,5,010150000304,10150,000304,2712,1,64.008634100334,202303,03
0101500003040420310303,01015000030404203103,2,15,12,6,5,1,1,1,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,170,1,2,3,2,0,1,2,2,1,0101500003040420303,2,1,1,1,1,1," "," ",1,1,1,1,4,5,010150000304,10150,000304,2712,1,64.008634100334,202303,03
0101500003040420310403,01015000030404203103,1,13,12,6,5,1,1,1,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,170,1,2,3,2,0,1,2,2,1,0101500003040420303,2,1,1,1,1,1," "," ",1,1,1,1,4,5,010150000304,10150,000304,2712,1,64.008634100334,202303,03
0101500003040420310503,01015000030404203103,2,4,12,6,1,1,1,1,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,170,1,2,3,2,0,1,2,2,1,0101500003040420303,2,1,1,1,1,1," "," ",1,1,1,1,4,5,010150000304,10150,000304,2712,1,64.008634100334,202303,03
0101500003040420410103,01015000030404204103,2,76,12,6,4,3,4,1,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,200,3,3,3,2,0,1,2,2,1,0101500003040420403,2,1,2,2,3,2," "," ",1,1,1,1,4,5,010150000304,10150,000304,2712,1,64.008634100334,202303,03
0101500003040420410203,01015000030404204103,2,72,12,6,4,3,4,1,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,200,3,3,3,2,0,1,2,2,1,0101500003040420403,2,1,2,2,3,2," "," ",1,1,1,1,4,5,010150000304,10150,000304,2712,1,64.008634100334,202303,03
0101500003040420510103,01015000030404205103,1,29,12,6,9,3,1,1,1,1,1,1,1,2,2,1,2,2,2,0,0,40,0,0,0,350,2,2,10,4,0,1,2,2,1,0101500003040420503,1,1,4,1,1,1," "," ",1,1,1,1,4,5,010150000304,10150,000304,2712,1,64.008634100334,202303,03
0101500003040420510203,01015000030404205103,1,51,12,3,6,3,1,1,1,1,1,1,1,2,2,1,2,2,2,0,0,40,0,0,0,350,2,2,10,4,0,1,2,2,1,0101500003040420503,1,1,4,1,1,1," "," ",1,1,1,1,4,5,010150000304,10150,000304,2712,1,64.008634100334,202303,03
0101500003040420510303,01015000030404205103,1,24,12,6,9,3,1,1,1,1,1,1,1,2,2,1,2,2,2,0,0,40,0,0,0,350,2,2,10,4,0,1,2,2,1,0101500003040420503,1,1,4,1,1,1," "," ",1,1,1,1,4,5,010150000304,10150,000304,2712,1,64.008634100334,202303,03
0101500003040420610103,01015000030404206103,2,46,12,4,4,1,1,1,3,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,80,1,1,1,0,0,2,2,2,1,0101500003040420603,4,1,2,2,1,2," "," ",2,1,2,1,4,5,010150000304,10150,000304,2712,1,64.008634100334,202303,03
0101500003040420610203,01015000030404206103,2,24,12,6,7,1,1,1,3,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,80,1,1,1,0,0,2,2,2,1,0101500003040420603,4,1,2,2,1,2," "," ",2,1,2,1,4,5,010150000304,10150,000304,2712,1,64.008634100334,202303,03
0101500003040420610303,01015000030404206103,1,17,12,6,5,1,1,1,3,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,80,1,1,1,0,0,2,2,2,1,0101500003040420603,4,1,2,2,1,2," "," ",2,1,2,1,4,5,010150000304,10150,000304,2712,1,64.008634100334,202303,03
0101500003040420710103,01015000030404207103,1,55,12,1,4,3,5,1,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,120,3,3,2,2,0,1,2,2,1,0101500003040420703,1,1,2,2,1,2," "," ",1,1,1,1,4,5,010150000304,10150,000304,2712,1,64.008634100334,202303,03
0101500003040420710203,01015000030404207103,2,41,12,1,6,3,5,1,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,120,3,3,2,2,0,1,2,2,1,0101500003040420703,1,1,2,2,1,2," "," ",1,1,1,1,4,5,010150000304,10150,000304,2712,1,64.008634100334,202303,03
0101500003040420710303,01015000030404207103,1,24,12,6,7,3,5,1,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,120,3,3,2,2,0,1,2,2,1,0101500003040420703,1,1,2,2,1,2," "," ",1,1,1,1,4,5,010150000304,10150,000304,2712,1,64.008634100334,202303,03
0101500003040420710403,01015000030404207103,1,13,12,6,5,3,5,1,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,120,3,3,2,2,0,1,2,2,1,0101500003040420703,1,1,2,2,1,2," "," ",1,1,1,1,4,5,010150000304,10150,000304,2712,1,64.008634100334,202303,03
0101500003040420710503,01015000030404207103,2,4,12,6,1,3,5,1,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,120,3,3,2,2,0,1,2,2,1,0101500003040420703,1,1,2,2,1,2," "," ",1,1,1,1,4,5,010150000304,10150,000304,2712,1,64.008634100334,202303,03
0101500011010280110101,01015000110102801101,1,47,12,3,4,1,1,1,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,200,2,2,4,3,0,1,2,2,1,0101500011010280101,2,1,1,1,1,1," "," ",1,1,1,1,4,5,010150001101,10150,001101,2713,1,558.366083040128,202301,01
0101500011010280110201,01015000110102801101,2,21,12,6,9,1,1,1,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,200,2,2,4,3,0,1,2,2,1,0101500011010280101,2,1,1,1,1,1," "," ",1,1,1,1,4,5,010150001101,10150,001101,2713,1,558.366083040128,202301,01
0101500011010280110301,01015000110102801101,2,86,12,4,1,1,1,1,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,200,2,2,4,3,0,1,2,2,1,0101500011010280101,2,1,1,1,1,1," "," ",1,1,1,1,4,5,010150001101,10150,001101,2713,1,558.366083040128,202301,01
0101500011010280210101,01015000110102802101,1,43,12,5,6,1,1,1,2,1,1,2,0,1,2,2,2,2,2,50,0,0,0,0,0,240,2,2,4,3,0,1,2,2,1,0101500011010280201,2,1,1,1,1,1," "," ",1,1,1,1,4,5,010150001101,10150,001101,2713,1,558.366083040128,202301,01
